0.250000 1.000000 0.050000 0.392226 0.397900 0.535694 0.437262 133
0.250000 1.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 2.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 2.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 3.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 3.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 4.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 4.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 5.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 5.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 6.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 6.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 7.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 7.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 8.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 8.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 9.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 9.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 10.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 10.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 11.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 11.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 12.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 12.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 13.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 13.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 14.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 14.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 15.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 15.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 16.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 16.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 17.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 17.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 18.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 18.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 19.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 19.500000 0.050000 0.399931 0.402948 0.550640 0.446033 123
0.250000 20.000000 0.050000 0.399931 0.402948 0.550640 0.446033 123
